# This file was automatically generated by http://masterlens.astro.utah.edu/ and should not be edited by hand.
# "system_name", "discovery_date", "ra_hrs", "ra_mins", "ra_secs", "ra_coord", "dec_degrees", "dec_arcmin", "dec_arcsec", "dec_coord", "lensgrade", "number_images", "theta_e", "theta_e_err", "z_lens", "z_lens_err", "z_source", "z_source_err", "vdisp", "vdisp_err"
"CSWA 38", "2010-11-01", "12", "26", "51.69", 186.71535583, "+21", "52", "25.45", 21.87373676, "A", 0, 10, NaN, 0.42, NaN, 2.9233, NaN, NaN, NaN
"SDSS J1234-0241", "2011-12-15", "12", "34", "27.99", 188.61662, "-02", "41", "29.62", -2.69156, "A", 2, 0.533, NaN, 0.4900, 0.0001, 1.016, NaN, 122, 31
"SDSS J1250+0523", "2006-02-01", "12", "50", "28.25", 192.61772, "+05", "23", "49.13", +5.39698, "A", 8, 1.1299, 0.0007, 0.23176, 0.00004, 0.795, NaN, 246, 15
"SDSS J1251+2935", "2007-10-01", "12", "51", "07.57", 192.78156013, "+29", "35", "40.5", +29.59458506, "A", 4, 0.88, NaN, 0.410, NaN, 0.80213, 0.00008, NaN, NaN
"SDSS J1251-0208", "2006-02-01", "12", "51", "35.7", 192.89877, "-02", "08", "5.17", -2.13477, "A", 2, 0.84, NaN, 0.22432, 0.00005, 0.784, NaN, 212, 23
"HST J12531-2914", "1995-11-01", "12", "53", "06", 193.275, "-29", "14", "30.000", -29.24167, "A", 4, 0.64, NaN, 0.69, NaN, NaN, NaN, NaN, NaN
"SDSS J1254+2235", "2009-05-01", "12", "54", "18.94", 193.57895411, "+22", "35", "36.5", +22.59348404, "A", 2, 0.787, NaN, NaN, NaN, 3.626, 0.002, NaN, NaN
"SDSS J1258+1657", "2009-05-01", "12", "58", "19.24", 194.58016909, "+16", "57", "17.6", +16.95489576, "A", 2, 0.565, NaN, 0.505, NaN, 2.701, 0.002, NaN, NaN
"SDSS J1304+2001", "2010-04-01", "13", "04", "43.58", 196.18160996, "+20", "01", "04.2", +20.0178397, "A", 2, 0.987, NaN, 0.373, NaN, 2.175, 0.002, NaN, NaN
"SDSS J1306+0600", "2009-11-01", "13", "06", "13.66", 196.55690, "+06", "00", "22.14", +6.00615, "A", 0, NaN, NaN, 0.17297, 0.00004, 0.472, NaN, 257, 17
"Abell 1689", "1995-06-01", "13", "11", "29.5", 197.872917, "-01", "20", "28", -1.341111, "A", 0, 50, NaN, 0.1867, NaN, NaN, NaN, NaN, NaN
"SDSS J1313+4615", "2009-11-01", "13", "13", "2.92", 198.26216, "+46", "15", "13.61", +46.25378, "A", 0, NaN, NaN, 0.18479, 0.00004, 0.514, NaN, 255, 15
"SDSS J1313+5151", "2007-11-01", "13", "13", "39.98", 198.41660466, "+51", "51", "28.4", +51.8579021, "A", 2, 0.6, NaN, 0.194, NaN, 1.877, 0.002, NaN, NaN
"Abell 1703", "2009-04-01", "13", "15", "00.7", 198.752917, "+51", "49", "10.0", +51.819444, "A", 0, 27.4, NaN, 0.277, NaN, 2.627, NaN, NaN, NaN
"SDSS J1315+5439", "2012-03-01", "13", "15", "09.30", 198.78875, "+54", "37", "51.8", +54.631056, "A", 0, 16.9, NaN, 0.588, NaN, NaN, NaN, NaN, NaN
"SDSS J1318+3942", "2010-12-01", "13", "18", "11.51", 199.54796, "+39", "42", "26.96", 39.70749, "A", 0, 8.5, NaN, 0.4751, 0.0002, 2.9437, 0.0003, NaN, NaN
"SDSS J1318-0104", "2011-12-15", "13", "18", "29.39", 199.62246, "-01", "04", "21.65", -1.07268, "A", 2, 0.679, NaN, 0.6591, 0.0002, 1.396, NaN, 177, 27
"SDSS J1318-0313", "2009-11-01", "13", "18", "39.33", 199.66386, "-03", "13", "34.25", -3.22618, "A", 0, NaN, NaN, 0.23965, 0.00005, 1.3, NaN, 242, 17
"SDSS J1319+1504", "2009-11-01", "13", "19", "32.49", 199.88538, "+15", "04", "26.04", +15.0739, "A", 0, NaN, NaN, 0.15369, 0.00004, 0.606, NaN, 240, 15
"SDSS J1322+1052", "2008-02-01", "13", "22", "36.41", 200.65174316, "+10", "52", "39.4", +10.87761449, "A", 2, 1.03, NaN, 0.55, NaN, 1.71602, 0.002, NaN, NaN
"GHO132029+3155", "2012-03-01", "13", "22", "48.77", 200.703208, "+31", "39", "17.8", +31.654944, "A", 0, 21.5, NaN, 0.308, NaN, NaN, NaN, NaN, NaN
"RXC J1327.0+0211", "2011-03-01", "13", "27", "01.01", 201.754208, "+02", "12", "19.5", +2.205417, "A", 0, NaN, NaN, 0.259, NaN, 0.991, NaN, NaN, NaN
"SDSS J1329+2243", "2012-03-01", "13", "29", "34.49", 202.393708, "+22", "43", "16.2", +22.721167, "A", 0, 10.9, NaN, 0.443, NaN, 2.040, NaN, NaN, NaN
"SDSS J1330+1810", "2008-12-01", "13", "30", "18.64", 202.57769261, "+18", "10", "32.1", +18.17559625, "A", 4, 0.97, NaN, 0.373, NaN, 1.393, 0.001, NaN, NaN
"SDSS J1331+3638", "2011-04-29", "13", "31", "40.33", 202.91804, "+36", "28", "11.96", +36.46999, "A", 4, NaN, NaN, 0.11333, 0.00002, 0.254, NaN, 183, 8
"SDSS J1332+0347", "2007-01-01", "13", "32", "22.62", 203.0942702, "+03", "47", "40.0", +3.79443544, "A", 2, 0.465, NaN, 0.191, NaN, 1.438, 0.002, NaN, NaN
"SDSS J1334+3315", "2011-09-01", "13", "34", "01.39", 203.50582173, "+33", "15", "34.3", 33.25953773, "A", 2, 0.40, NaN, 0.557, NaN, 2.4178, 0.0002, NaN, NaN
"LBQS1333+0113", "2004-04-01", "13", "35", "34.79", 203.89496792, "+01", "18", "05.5", +1.30154919, "A", 2, 0.78, NaN, 0.440, NaN, 1.571, 0.002, NaN, NaN
"SDSS J1337+3620", "2011-12-15", "13", "37", "51.31", 204.46380, "+36", "20", "18.06", +36.33835, "A", 2, 1.386, NaN, 0.5643, 0.0001, 1.182, NaN, 225, 35
"SDSS J1339+1310", "2009-05-01", "13", "39", "07.13", 204.77974079, "+13", "10", "39.6", +13.17767316, "A", 2, 0.853, NaN, NaN, NaN, 2.241, 0.003, NaN, NaN
"CSWA 28", "2009-12-01", "13", "43", "32.85", 205.88688803, "+41", "55", "3.48", 41.91763425, "A", 0, 5.4, NaN, 0.418, NaN, 2.093, NaN, NaN, NaN
"NSC J134610+030555", "2008-02-01", "13", "46", "03.53", 206.514708, "+03", "09", "31.0", +3.158611, "A", 0, NaN, NaN, 0.232, NaN, NaN, NaN, NaN, NaN
"SDSS J1347-0101", "2011-02-01", "13", "47", "04.96", 206.770667, "-01", "01", "03.52", -1.017644, "A", 0, 0.42, NaN, 0.3969, 0.0001, 0.63, NaN, 163, 36
"SDSS J1349+3612", "2011-12-15", "13", "49", "10.3", 207.29292, "+36", "12", "39.74", +36.21104, "A", 2, 0.750, NaN, 0.4396, 0.0001, 0.893, NaN, 178, 18
"SDSS J1349+1227", "2010-04-01", "13", "49", "29.84", 207.37435334, "+12", "27", "06.8", +12.45191285, "A", 2, 1.399, NaN, NaN, NaN, 1.722, 0.002, NaN, NaN
"SDSS J1352+3216", "2011-12-15", "13", "52", "18.99", 208.07913, "+32", "16", "51.78", +32.28105, "A", 2, 1.823, NaN, 0.4634, 0.0001, 1.034, NaN, 161, 21
"SDSS J1353+1138", "2006-04-01", "13", "53", "06.34", 208.27644261, "+11", "38", "04.7", +11.63464297, "A", 2, 0.71, NaN, 0.3, NaN, 1.6266, 0.0002, NaN, NaN
"Q1355-2257", "2006-04-01", "13", "55", "43", 208.92917, "-22", "57", "22.000", -22.95611, "A", 2, 0.61, NaN, 0.701, NaN, 1.373, NaN, NaN, NaN
"SL2SJ135847+545913", "2013-07-01", "13", "58", "47.98", 209.699917, "+54", "59", "13.0", +54.986944, "A", 0, 1.21, 0.04, 0.510, 0.001, NaN, NaN, NaN, NaN
"SL2SJ135949+553550", "", "13", "59", "49.61", 209.956708, "+55", "35", "50.4", +55.597333, "A", 0, 1.14, 0.03, 0.783, 0.001, 2.77, NaN, NaN, NaN
"MS 1358.4+6245", "2011-05-01", "13", "59", "50.55", 209.960625, "+62", "31", "05.00", +62.518056, "A", 0, 21, 3, 0.33, NaN, NaN, NaN, NaN, NaN
"SDSS J1400+3134", "2009-05-01", "14", "00", "12.77", 210.05322186, "+31", "34", "54.1", +31.58170141, "A", 2, 0.79, NaN, NaN, NaN, 3.317, 0.001, NaN, NaN
"SL2S J140110+565421", "2011-09-08", "14", "01", "10.46", 210.293579, "+56", "54", "20.51", +56.905696, "A", 4, 3.7, NaN, 0.53, 0.03, NaN, NaN, NaN, NaN
"SL2S J140123+555705", "2010-08-18", "14", "01", "23.19", 210.3466339, "+55", "57", "5.4", 55.9514999, "A", 0, 1.74, 0.07, 0.5263, 0.001, NaN, NaN, NaN, NaN
"B1359+154", "1999-06-01", "14", "01", "35.53", 210.39803, "+15", "13", "25.61", 15.22378, "A", 6, 1.71, NaN, NaN, NaN, 3.235, NaN, NaN, NaN
"SL2S J140156+554447", "2011-09-08", "14", "01", "56.39", 210.484954, "+55", "44", "46.78", +55.746326, "A", 2, 2.03, 0.06, 0.464, 0.001, NaN, NaN, NaN, NaN
"SL2SJ140221+550534", "2013-07-01", "14", "02", "21.52", 210.589667, "+55", "05", "34.9", +55.093028, "A", 0, 1.23, 0.04, 0.412, 0.001, NaN, NaN, NaN, NaN
"SDSS J1402+6321", "2006-02-01", "14", "02", "28.22", 210.61757, "+63", "21", "33.48", +63.3593, "A", 4, 1.3468, 0.0017, 0.20456, 0.00004, 0.481, NaN, 268, 15
"ACS J140237.11+542716.4", "2012-06-15", "14", "02", "37.11", 210.654625, "+54", "27", "16.4", +54.454556, "A", 1, 1.85, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SDSS J1403+0006", "2008-08-01", "14", "03", "29.49", 210.87287, "+00", "06", "41.36", +0.11149, "A", 6, 0.830, 0.004, 0.18878, 0.00005, 0.473, NaN, 205, 16
"ACS J140339.94+541633.3", "2012-06-15", "14", "03", "39.94", 210.916417, "+54", "16", "33.3", +54.275917, "A", 1, 0.90, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SL2S J140454+520025", "2011-09-08", "14", "04", "54.46", 211.226913, "+52", "00", "24.70", +52.006862, "A", 4, 2.55, 0.08, 0.456, 0.001, 1.59, 0.01, NaN, NaN
"SDSS J1405+0959", "2012-01-01", "14", "05", "15.42", 211.31425519, "+09", "59", "31.3", 9.99202973, "A", 2, 0.99, NaN, 0.66, NaN, 1.810, 0.001, NaN, NaN
"SL2SJ140533+550231", "2013-07-01", "14", "05", "33.83", 211.390958, "+55", "02", "31.1", +55.041972, "A", 0, 1.05, 0.07, NaN, NaN, NaN, NaN, NaN, NaN
"SL2SJ140546+524311", "2013-07-01", "14", "05", "46.22", 211.442583, "+52", "43", "11.2", +52.719778, "A", 0, 1.51, 0.05, 0.526, 0.001, 3.01, 0.01, NaN, NaN
"SL2S J140554+544549", "2011-09-08", "14", "05", "54.33", 211.476379, "+54", "45", "48.68", +54.763523, "A", 2, 2.8, NaN, 0.41, 0.03, NaN, NaN, NaN, NaN
"SDSS J1406+6126", "2007-01-01", "14", "06", "24.82", 211.60344912, "+61", "26", "40.9", +61.44469838, "A", 2, 0.97, NaN, 0.271, NaN, 2.133820, 0.002, NaN, NaN
"SL2SJ140650+522619", "2013-07-01", "14", "06", "50.33", 211.709708, "+52", "26", "19.1", +52.438639, "A", 0, 0.94, 0.03, 0.716, 0.001, 1.47, 0.01, NaN, NaN
"SL2S J140814+542908", "2011-09-08", "14", "08", "13.82", 212.057586, "+54", "29", "8.12", +54.485588, "A", 2, 8.0, NaN, 0.48, 0.02, NaN, NaN, NaN, NaN
"HST J14113+5211", "1998-08-01", "14", "11", "19.56", 212.8315, "+52", "11", "29.0", +52.19139, "A", 4, 0.9, NaN, 0.46, NaN, 2.81, NaN, NaN, NaN
"SL2S J141137+565119", "2010-08-18", "14", "11", "37.04", 212.9043427, "+56", "51", "19.07", 56.8552971, "A", 0, 0.93, 0.03, 0.3218, 0.001, 1.420, 0.001, 228, 20
"SL2S J141447+544704", "2011-09-08", "14", "14", "47.19", 213.696624, "+54", "47", "3.59", +54.784332, "A", 1, 14.7, NaN, 0.63, 0.02, NaN, NaN, NaN, NaN
"H1413+117", "1988-07-01", "14", "15", "46", 213.94167, "+11", "29", "41", +11.49472, "A", 4, 1.35, NaN, NaN, NaN, 2.55, NaN, NaN, NaN
"SDSS J1416+5136", "2008-08-01", "14", "16", "22.35", 214.09311, "+51", "36", "30.46", +51.60846, "A", 5, 1.368, 0.002, 0.29868, 0.00007, 0.811, NaN, 230, 22
"ACS J141710.17+433133.2", "2012-06-15", "14", "17", "10.17", 214.292375, "+43", "31", "33.2", +43.525889, "A", 1, 2.14, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"HST J14176+5226", "1995-11-01", "14", "17", "35.76", 214.399, "+52", "26", "45.6", 52.446, "A", 4, 1.5, NaN, 0.81, NaN, 3.4, NaN, NaN, NaN
"HST J1418+5236", "2006-07-01", "14", "18", "20.77", 214.586542, "+52", "36", "11.3", +52.603139, "A", 0, 0.67, NaN, 0.5798, NaN, 0.9818, NaN, 261, NaN
"HST J1418+5243", "2006-07-01", "14", "18", "33.11", 214.637958, "+52", "43", "52.6", +52.731278, "A", 2, 0.83, NaN, 0.4625, NaN, NaN, NaN, 250, NaN
"SL2S J141912+532611", "2011-09-08", "14", "19", "12.17", 214.800704, "+53", "26", "11.44", +53.436511, "A", 1, 9.9, NaN, 0.69, 0.02, NaN, NaN, NaN, NaN
"SL2S J141917+511729", "2011-09-08", "14", "19", "17.25", 214.821868, "+51", "17", "28.63", +51.291286, "A", 1, 3.11, 0.26, 0.47, 0.03, NaN, NaN, NaN, NaN
"SL2SJ142003+523137", "2013-07-01", "14", "20", "03.39", 215.014125, "+52", "31", "37.8", +52.527167, "A", 0, 1.79, 0.09, 0.354, 0.001, 1.41, NaN, NaN, NaN
"SDSS J1420+6019", "2006-02-01", "14", "20", "15.85", 215.06604, "+60", "19", "14.81", +60.32078, "A", 4, 1.0424, 0.0004, 0.06291, 0.00001, 0.535, NaN, 199, 4
"SDSS J1420+3955", "2012-03-01", "14", "20", "40.33", 215.168042, "+39", "55", "09.8", +39.919389, "A", 0, 9.9, NaN, 0.607, NaN, 2.161, NaN, NaN, NaN
"SL2SJ142059+563007", "2013-07-01", "14", "20", "59.85", 215.249375, "+56", "30", "07.4", +56.502056, "A", 0, 1.40, 0.04, 0.483, 0.001, 3.12, 0.01, NaN, NaN
"SL2SJ142321+572243", "2013-07-01", "14", "23", "21.90", 215.84125, "+57", "22", "43.0", +57.378611, "A", 0, 1.30, 0.14, NaN, NaN, NaN, NaN, NaN, NaN
"MACS J1423.8+2404", "2007-03-01", "14", "23", "47.663", 215.948596, "+24", "04", "40.14", 24.077817, "A", 0, 20, 2, 0.543, NaN, NaN, NaN, 1300, 170
"B1422+231", "1992-11-01", "14", "24", "38", 216.15833, "+22", "56", "00.6", +22.9335, "A", 4, 1.68, NaN, 0.34, NaN, 3.62, NaN, NaN, NaN
"IDCS J1426.5+3508", "2012-07-01", "14", "26", "32.95", 216.637292, "+35", "08", "23.6", +35.139889, "A", 0, NaN, NaN, 1.75, NaN, NaN, NaN, NaN, NaN
"SL2SJ142731+551645", "2013-07-01", "14", "27", "31.28", 216.880333, "+55", "16", "45.2", +55.279222, "A", 0, 0.81, 0.03, 0.511, 0.001, 2.58, 0.01, NaN, NaN
"SL2S J143001+554648", "2011-09-08", "14", "30", "0.65", 217.502700, "+55", "46", "47.97", +55.779991, "A", 4, 4.3, NaN, 0.55, 0.02, NaN, NaN, NaN, NaN
"HST J143001.28+410440.8", "2009-05-01", "14", "30", "1.29", 217.505375, "+41", "04", "40.8", +41.07800, "A", 2, 1.31, 0.07, 0.32, 0.01, 1.38, 0.56, NaN, NaN
"SDSS J1430+4105", "2008-08-01", "14", "30", "4.10", 217.51704, "+41", "05", "57.10", +41.0992, "A", 8, 1.5194, 0.0006, 0.28492, 0.00008, 0.575, NaN, 294, 30
"SDSS J1432+6317", "", "14", "32", "13.34", 218.05560, "+63", "17", "3.77", +63.28438, "A", 2, NaN, NaN, 0.12300, 0.00002, 0.664, NaN, 193, 8
"SDSS J1436+3640", "", "14", "36", "5.63", 219.02345, "+36", "40", "47.17", +36.67977, "A", 0, NaN, NaN, 0.18462, 0.00004, 0.758, NaN, 255, 17
"SDSS J1436-0000", "", "14", "36", "27.54", 219.11476, "-00", "00", "29.2", -0.00811, "A", 0, NaN, NaN, 0.28521, 0.00005, 0.805, NaN, 218, 17
"WFC3 J143703.21+350153.55", "2012-06-15", "14", "37", "03.21", 219.263375, "+35", "01", "53.55", +35.031542, "A", 1, 0.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SDSS J1443+0304", "", "14", "43", "19.62", 220.83174, "+03", "04", "8.29", +3.06897, "A", 0, NaN, NaN, 0.13383, 0.00003, 0.419, NaN, 222, 11
"SDSS J1446+3032", "2009-07-01", "14", "46", "34.02", 221.64175, "+30", "32", "58.2", +30.5495, "A", 0, 16.8, NaN, 0.464, NaN, NaN, NaN, NaN, NaN
"SDSS J1450+3908", "2010-12-01", "14", "50", "30.65", 222.62770, "+39", "08", "19.14", 39.13865, "A", 0, 4.4, NaN, 0.2893, 0.0002, 0.8613, 0.0003, NaN, NaN
"SDSS J1451-0239", "", "14", "51", "28.19", 222.86745, "-02", "39", "36.43", -2.66012, "A", 0, NaN, NaN, 0.12533, 0.00003, 0.52, NaN, 213, 13
"SDSS J1455+1447", "2010-04-01", "14", "55", "01.91", 223.75798284, "+14", "47", "34.8", +14.79300293, "A", 2, 0.853, NaN, NaN, NaN, 1.424, 0.001, NaN, NaN
"SDSS J1456+5702", "2012-03-01", "14", "56", "00.78", 224.00325, "+57", "02", "20.3", +57.038972, "A", 0, 13.2, NaN, 0.484, NaN, 0.833, NaN, NaN, NaN
"SDSS J1515+1511", "2012-05-01", "15", "15", "38.59", 228.91080753, "+15", "11", "35.8", 15.19330263, "A", 0, 0.98, NaN, 0.742, NaN, 2.054, 0.002, NaN, NaN
"SBS1520+530", "1997-02-01", "15", "21", "44", 230.43333, "+52", "54", "48.6", +52.9135, "A", 2, 0.80, NaN, 0.717, NaN, 1.855, NaN, NaN, NaN
"SDSS J1522+2910", "2011-12-15", "15", "22", "9.5400", 230.53975, "+29", "10", "21.90", 29.17275, "A", 2, 0.736, NaN, 0.5553, 0.0001, 1.311, NaN, 166, 27
"SDSS J1524+4409", "2008-02-01", "15", "24", "45.62", 231.19009714, "+44", "09", "49.5", +44.16376024, "A", 2, 0.79, NaN, 0.320, NaN, 1.210, 0.001, NaN, NaN
"SDSS J1525+3327", "", "15", "25", "6.7", 231.27790, "+33", "27", "47.45", +33.46318, "A", 0, NaN, NaN, 0.35829, 0.00009, 0.717, NaN, 303, 29
"ULAS J1527+0141", "2012-01-01", "15", "27", "20.13", 231.83388016, "+01", "41", "39.6", 1.69433497, "A", 2, 1.35, NaN, NaN, NaN, 1.4384, 0.0002, NaN, NaN
"CSWA 39", "2008-02-01", "15", "27", "45.02", 231.93759592, "+06", "52", "33.85", 6.87607048, "A", 0, NaN, NaN, 0.39, NaN, 2.7593, NaN, NaN, NaN
"SDSS J1531+3414", "2009-07-01", "15", "31", "10.60", 232.794167, "+34", "14", "25.0", +34.240278, "A", 0, 11.7, NaN, 0.335, NaN, 1.096, NaN, NaN, NaN
"SDSS J1531-0105", "", "15", "31", "50.07", 232.95863, "-01", "05", "45.64", -1.09601, "A", 0, NaN, NaN, 0.15966, 0.00003, 0.744, NaN, 259, 9
"SDSS J1537+6556", "2010-12-01", "15", "37", "13.2", 234.30500, "+65", "56", "20.76", 65.9391, "A", 0, 8.1, NaN, 0.2595, 0.0001, 0.6596, 0.0001, NaN, NaN
"SDSS J1538+5817", "", "15", "38", "12.92", 234.55384, "+58", "17", "9.82", +58.28606, "A", 0, NaN, NaN, 0.14277, 0.00003, 0.531, NaN, 191, 12
"SDSS J1541+1812", "2011-12-15", "15", "41", "18.56", 235.32734, "+18", "12", "35.14", +18.20976, "A", 2, 0.640, NaN, 0.5603, 0.0001, 1.113, NaN, 174, 24
"SDSS J1542+1629", "2011-12-15", "15", "42", "46.33", 235.69306, "+16", "29", "51.76", +16.49771, "A", 2, 1.042, NaN, 0.3521, 0.0001, 1.023, NaN, 210, 16
"HST J15433+5352", "1999-05-01", "15", "43", "20", 235.83333, "+53", "51", "52", +53.86444, "A", 2, 0.58, NaN, 0.497, NaN, 2.092, NaN, NaN, NaN
"SDSS J1545+2748", "2011-12-15", "15", "45", "3.57", 236.26489, "+27", "48", "5.29", +27.80147, "A", 2, 1.210, NaN, 0.5218, 0.0001, 1.289, NaN, 250, 37
"MG1549+3047", "2003-08-01", "15", "49", "12", 237.3, "+30", "47", "16.6", +30.78794, "A", 1, 1.15, NaN, 0.11, NaN, 1.17, NaN, 227, 18
"B1555+375", "1999-08-01", "15", "57", "11", 239.29583, "+37", "21", "35.9", +37.35997, "A", 4, 0.42, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SDSS J1601+2138", "2011-12-15", "16", "01", "13.27", 240.30531, "+21", "38", "33.86", +21.64274, "A", 2, 0.858, NaN, 0.5435, 0.0001, 1.446, NaN, 207, 36
"B1600+434", "1995-05-01", "16", "01", "40", 240.41667, "+43", "16", "47.8", +43.27994, "A", 2, 1.4, NaN, 0.41, NaN, 1.59, NaN, NaN, NaN
"B1608+656", "1995-07-01", "16", "09", "13.96", 242.30817, "+65", "32", "28.32", 65.5412, "A", 4, 2.27, NaN, 0.63, NaN, 1.39, NaN, 260, 15
"SDSS J1611+1705", "2011-12-15", "16", "11", "9.8", 242.79083, "+17", "05", "26.59", +17.09072, "A", 2, 0.580, NaN, 0.4766, 0.0001, 1.211, NaN, 109, 23
"SDSS J1614+4522", "", "16", "14", "37.74", 243.65725, "+45", "22", "53.36", +45.38149, "A", 0, NaN, NaN, 0.17787, 0.00003, 0.811, NaN, 194, 13
"SDSS J1618+4353", "", "16", "18", "43.1", 244.67960, "+43", "53", "27.42", +43.89095, "A", 0, NaN, NaN, 0.19883, 0.00006, 0.666, NaN, 296, 24
"SDSS J1620+1203", "2010-04-01", "16", "20", "26.14", 245.10892899, "+12", "03", "42.0", 12.06167583, "A", 2, 1.353, NaN, 0.398, NaN, 1.158, 0.002, NaN, NaN
"SDSS J1621+0607", "2012-03-01", "16", "21", "32.36", 245.384833, "+06", "07", "19.0", +6.121944, "A", 0, 12.5, NaN, 0.342, NaN, 4.131, NaN, NaN, NaN
"SDSS J1621+3931", "", "16", "21", "32.99", 245.38744, "+39", "31", "44.69", +39.52908, "A", 0, NaN, NaN, 0.24480, 0.00006, 0.602, NaN, 228, 20
"SDSS J1627-0053", "", "16", "27", "46.44", 246.94352, "-00", "53", "57.55", -0.89932, "A", 0, NaN, NaN, 0.20758, 0.00004, 0.524, NaN, 286, 13
"SDSS J1630+4520", "", "16", "30", "28.16", 247.61733, "+45", "20", "36.31", +45.34342, "A", 0, NaN, NaN, 0.24789, 0.00004, 0.793, NaN, 252, 16
"SDSS J1631+1854", "2011-12-15", "16", "31", "50.33", 247.95970, "+18", "54", "4.07", +18.90113, "A", 2, 1.634, NaN, 0.4081, 0.0001, 1.086, NaN, 272, 14
"SDSS J1632+3500", "2012-03-01", "16", "32", "10.26", 248.04275, "+35", "00", "29.7", +35.00825, "A", 0, 14.3, NaN, 0.49, NaN, NaN, NaN, NaN, NaN
"SDSS J1636+4707", "", "16", "36", "2.61", 249.01089, "+47", "07", "29.57", +47.12488, "A", 0, NaN, NaN, 0.22820, 0.00004, 0.675, NaN, 223, 15
"SDSS J1637+1439", "2011-12-15", "16", "37", "14.58", 249.31073, "+14", "39", "30.1", +14.65836, "A", 2, 0.650, NaN, 0.3910, 0.0001, 0.874, NaN, 208, 30
"SDSS J1644+2625", "", "16", "44", "43.08", 251.17951, "+26", "25", "25.57", +26.42377, "A", 0, NaN, NaN, 0.13682, 0.00003, 0.61, NaN, 225, 12
"SDSS J1650+4251", "2003-11-01", "16", "50", "43.44", 252.6810019, "+42", "51", "49.3", 42.8637137, "A", 2, 0.665, NaN, 0.577, NaN, 1.547, 0.004, NaN, NaN
"MG1654+1346", "1988-09-01", "16", "54", "41", 253.67083, "+13", "46", "22", +13.77278, "A", 1, 2.1, NaN, 0.254, NaN, 1.74, NaN, NaN, NaN
"SDSS J1703+2451", "2011-04-29", "17", "03", "41.47", 255.92278, "+24", "51", "39.96", +24.8611, "A", 2, NaN, NaN, 0.06287, 0.00001, 0.637, NaN, 163, 8
"SDSS J1709+2324", "", "17", "09", "38.96", 257.41233, "+23", "24", "8.46", +23.40235, "A", 0, NaN, NaN, 0.34689, 0.00007, 0.719, NaN, 246, 30
"ACS J171817.43+593146.4", "2012-06-15", "17", "18", "17.43", 259.572625, "+59", "31", "46.4", +59.529556, "A", 1, 2.35, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SDSS J1718+6424", "", "17", "18", "37.39", 259.65580, "+64", "24", "52.27", +64.41452, "A", 0, NaN, NaN, 0.08987, 0.00005, 0.737, NaN, 297, 16
"SDSS J1719+2939", "", "17", "19", "34.16", 259.89234, "+29", "39", "26.35", +29.65732, "A", 0, NaN, NaN, 0.18073, 0.00005, 0.578, NaN, 284, 15
"Abell 2261", "2005-07-01", "17", "22", "27.115", 260.612979, "+32", "08", "01.76", +32.133822, "A", 0, NaN, NaN, 0.225, NaN, NaN, NaN, NaN, NaN
"SDSS J1723+3411", "2010-12-01", "17", "23", "36.16", 260.90067, "+34", "11", "58.06", 34.19946, "A", 0, 4.7, NaN, 0.4435, 0.0002, 1.3294, 0.0002, NaN, NaN
"ACS J174035.58+690328.1", "2012-06-15", "17", "40", "35.58", 265.14825, "+69", "03", "28.1", +69.057806, "A", 1, 1.12, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"PKS1830-211", "1988-03-01", "18", "33", "39", 278.4125, "-21", "03", "39.000", -21.06083, "A", 2, 0.48, NaN, 0.89, NaN, 2.51, NaN, NaN, NaN
"PMN J1838-3427", "2000-12-01", "18", "38", "28", 279.61667, "-34", "27", "41.000", -34.46139, "A", 2, 0.528, NaN, NaN, NaN, 2.78, NaN, NaN, NaN
"B1933+503", "1998-12-01", "19", "34", "30", 293.625, "+50", "25", "23.6", +50.42322, "A", 10, 1, NaN, 0.755, NaN, 1.71, 0.01, 326, 8
"B1938+666", "1996-02-01", "19", "38", "25.35", 294.60563, "+66", "48", "52.7", +66.81464, "A", 6, 0.475, NaN, 0.881, NaN, 2.059, NaN, NaN, NaN
"PMN J2004-1349", "2001-03-01", "20", "04", "07", 301.02917, "-13", "49", "30.000", -13.825, "A", 2, 0.59, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"MG2016+112", "1984-01-01", "20", "19", "18", 304.825, "+11", "27", "13.36", +11.45371, "A", 2, 3.52, NaN, 1.01, NaN, 3.27, NaN, NaN, NaN
"WFI2026-4536", "2004-05-01", "20", "26", "10.48", 306.54367, "-45", "36", "27", -45.6075, "A", 4, 0.604, NaN, NaN, NaN, 2.23, NaN, NaN, NaN
"WFI2033-4723", "2004-05-01", "20", "33", "42", 308.425, "-47", "23", "43.000", -47.39528, "A", 4, 2.33, NaN, 0.66, NaN, 1.66, NaN, NaN, NaN
"B2045+265", "1999-02-01", "20", "47", "20", 311.83333, "+26", "44", "01.2", +26.73367, "A", 4, 2.74, NaN, 0.87, NaN, 1.28, NaN, NaN, NaN
"SPT2103-60", "2013-03-21", "21", "03", "30.90", 315.878750, "-60", "32", "40.30", -59.455472, "A", 0, NaN, NaN, NaN, NaN, 4.4357, NaN, NaN, NaN
